facet	value	count
annotation_class	GO:0005776	1408
annotation_class	GO:0009058	1408
annotation_class	GO:0006396	1398
annotation_class	GO:0030127	1393
annotation_class	GO:0004879	1392
annotation_class	GO:0005384	1390
annotation_class	GO:0006893	1390
annotation_class	GO:0035091	1390
annotation_class	GO:0005254	1387
annotation_class	GO:0006900	1385
annotation_class	GO:0003725	1382
annotation_class	GO:0016126	1382
annotation_class	GO:0034727	1378
annotation_class	GO:0000774	1375
annotation_class	GO:0051017	1373
annotation_class	GO:0005834	1368
annotation_class	GO:0030126	1367
annotation_class	GO:0031145	1366
annotation_class	GO:0031491	1352
annotation_class	GO:0000176	1344
annotation_class	GO:0005868	1344
annotation_class	GO:0051539	1344
annotation_class	GO:0005840	1343
annotation_class	GO:0035861	1335
annotation_class	GO:0032981	1331
annotation_class	GO:0005178	1326
annotation_class	GO:0006397	1326
annotation_class	GO:0034976	1323
annotation_class	GO:0005975	1321
annotation_class	GO:0019941	1321
annotation_class	GO:0042274	1320
annotation_class	GO:0045332	1319
annotation_class	GO:0032456	1314
annotation_class	GO:0019905	1310
annotation_class	GO:0019814	1309
annotation_class	GO:0016018	1306
annotation_class	GO:0019888	1305
annotation_class	GO:0043495	1305
annotation_class	GO:0000124	1304
annotation_class	GO:0060070	1300
annotation_class	GO:0072659	1300
annotation_class	GO:0016298	1296
annotation_class	GO:0050821	1294
annotation_class	GO:0030148	1292
annotation_class	GO:0000165	1291
annotation_class	GO:0000727	1280
annotation_class	GO:0010008	1274
annotation_class	GO:0009653	1273
annotation_class	GO:0042995	1273
annotation_class	GO:0000470	1270
annotation_class	GO:0010427	1269
annotation_class	GO:0007420	1268
annotation_class	GO:0015631	1268
annotation_class	GO:0006623	1266
annotation_class	GO:0009833	1265
annotation_class	GO:0005925	1257
annotation_class	GO:0006486	1255
annotation_class	GO:0042391	1255
annotation_class	GO:0005884	1246
annotation_class	GO:0000993	1244
annotation_class	GO:0008083	1243
annotation_class	GO:0048015	1242
annotation_class	GO:0035064	1241
annotation_class	GO:0019722	1240
annotation_class	GO:0004867	1239
annotation_class	GO:0030672	1238
annotation_class	GO:0031122	1225
annotation_class	GO:0070475	1225
annotation_class	GO:0043484	1220
annotation_class	GO:0008143	1217
annotation_class	GO:0032511	1217
annotation_class	GO:0032968	1216
annotation_class	GO:0008528	1214
annotation_class	GO:0042761	1213
annotation_class	GO:0006368	1210
annotation_class	GO:0008081	1209
annotation_class	GO:0000902	1208
annotation_class	GO:0003756	1208
annotation_class	GO:0045165	1204
annotation_class	GO:0072686	1204
annotation_class	GO:0005388	1199
